x,y
20241008091200.000000,1.09902
20241008091300.000000,1.09900
20241008091400.000000,1.09914
20241008091500.000000,1.09915
20241008091600.000000,1.09916
20241008091700.000000,1.09915
20241008091800.000000,1.09909
20241008091900.000000,1.09918
20241008092000.000000,1.09898
20241008092100.000000,1.09882
20241008092200.000000,1.09883
20241008092300.000000,1.09879
20241008092400.000000,1.09886
20241008092500.000000,1.09879
20241008092600.000000,1.09875
20241008092700.000000,1.09880
20241008092800.000000,1.09883
20241008092900.000000,1.09884
20241008093000.000000,1.09888
20241008093100.000000,1.09898
20241008093200.000000,1.09893
20241008093300.000000,1.09899
20241008093400.000000,1.09903
20241008093500.000000,1.09919
20241008093600.000000,1.09919
20241008093700.000000,1.09904
20241008093800.000000,1.09894
20241008093900.000000,1.09899
20241008094000.000000,1.09894
20241008094100.000000,1.09897
20241008094200.000000,1.09892
20241008094300.000000,1.09891
20241008094400.000000,1.09887
20241008094500.000000,1.09880
20241008094600.000000,1.09873
20241008094700.000000,1.09885
20241008094800.000000,1.09898
20241008094900.000000,1.09898
20241008095000.000000,1.09885
20241008095100.000000,1.09884
20241008095200.000000,1.09879
20241008095300.000000,1.09869
20241008095400.000000,1.09863
20241008095500.000000,1.09861
20241008095600.000000,1.09853
20241008095700.000000,1.09855
20241008095800.000000,1.09869
20241008095900.000000,1.09867
20241008100000.000000,1.09880
20241008100100.000000,1.09895
20241008100200.000000,1.09890
20241008100300.000000,1.09885
20241008100400.000000,1.09892
20241008100500.000000,1.09878
20241008100600.000000,1.09881
20241008100700.000000,1.09883
20241008100800.000000,1.09889
20241008100900.000000,1.09896
20241008101000.000000,1.09899
20241008101100.000000,1.09902
20241008101200.000000,1.09898
20241008101300.000000,1.09899
20241008101400.000000,1.09905
20241008101500.000000,1.09904
20241008101600.000000,1.09905
20241008101700.000000,1.09895
20241008101800.000000,1.09882
20241008101900.000000,1.09873
20241008102000.000000,1.09870
20241008102100.000000,1.09886
20241008102200.000000,1.09888
20241008102300.000000,1.09897
20241008102400.000000,1.09889
20241008102500.000000,1.09906
20241008102600.000000,1.09904
20241008102700.000000,1.09895
20241008102800.000000,1.09887
20241008102900.000000,1.09891
20241008103000.000000,1.09894
20241008103100.000000,1.09900
20241008103200.000000,1.09897
20241008103300.000000,1.09880
20241008103400.000000,1.09883
20241008103500.000000,1.09879
20241008103600.000000,1.09859
20241008103700.000000,1.09860
20241008103800.000000,1.09853
20241008103900.000000,1.09839
20241008104000.000000,1.09838
20241008104100.000000,1.09838
20241008104200.000000,1.09843
20241008104300.000000,1.09835
20241008104400.000000,1.09823
20241008104500.000000,1.09820
20241008104600.000000,1.09829
20241008104700.000000,1.09830
20241008104800.000000,1.09840
20241008104900.000000,1.09830
20241008105000.000000,1.09836
20241008105100.000000,1.09829
20241008105200.000000,1.09835
20241008105300.000000,1.09841
20241008105400.000000,1.09822
20241008105500.000000,1.09843
20241008105600.000000,1.09859
20241008105700.000000,1.09866
20241008105800.000000,1.09859
20241008105900.000000,1.09845
20241008110000.000000,1.09837
20241008110100.000000,1.09843
20241008110200.000000,1.09845
20241008110300.000000,1.09860
20241008110400.000000,1.09852
20241008110500.000000,1.09853
20241008110600.000000,1.09864
20241008110700.000000,1.09849
20241008110800.000000,1.09848
20241008110900.000000,1.09836
20241008111000.000000,1.09817
20241008111100.000000,1.09817
20241008111200.000000,1.09820
20241008111300.000000,1.09807
20241008111400.000000,1.09814
20241008111500.000000,1.09812
20241008111600.000000,1.09810
20241008111700.000000,1.09812
20241008111800.000000,1.09816
20241008111900.000000,1.09817
20241008112000.000000,1.09812
20241008112100.000000,1.09820
20241008112200.000000,1.09816
20241008112300.000000,1.09814
20241008112400.000000,1.09818
20241008112500.000000,1.09807
20241008112600.000000,1.09807
20241008112700.000000,1.09801
20241008112800.000000,1.09805
20241008112900.000000,1.09806
20241008113000.000000,1.09794
20241008113100.000000,1.09792
20241008113200.000000,1.09795
20241008113300.000000,1.09794
20241008113400.000000,1.09780
20241008113500.000000,1.09795
20241008113600.000000,1.09800
20241008113700.000000,1.09805
20241008113800.000000,1.09816
20241008113900.000000,1.09816
20241008114000.000000,1.09820
20241008114100.000000,1.09816
20241008114200.000000,1.09826
20241008114300.000000,1.09832
20241008114400.000000,1.09819
20241008114500.000000,1.09825
20241008114600.000000,1.09825
20241008114700.000000,1.09840
20241008114800.000000,1.09836
20241008114900.000000,1.09838
20241008115000.000000,1.09838
20241008115100.000000,1.09841
20241008115200.000000,1.09840
20241008115300.000000,1.09851
20241008115400.000000,1.09864
20241008115500.000000,1.09878
20241008115600.000000,1.09887
20241008115700.000000,1.09873
20241008115800.000000,1.09875
20241008115900.000000,1.09869
20241008120000.000000,1.09885
20241008120100.000000,1.09865
20241008120200.000000,1.09874
20241008120300.000000,1.09875
20241008120400.000000,1.09871
20241008120500.000000,1.09865
20241008120600.000000,1.09849
20241008120700.000000,1.09835
20241008120800.000000,1.09828
20241008120900.000000,1.09808
20241008121000.000000,1.09800
20241008121100.000000,1.09811
20241008121200.000000,1.09804
20241008121300.000000,1.09805
20241008121400.000000,1.09810
20241008121500.000000,1.09815
20241008121600.000000,1.09826
20241008121700.000000,1.09823
20241008121800.000000,1.09827
20241008121900.000000,1.09846
