x,y
225.828,1.0679848
228.641,1.06792315
230.909,1.06780006
231.483,1.06792297
232.263,1.06779485
232.847,1.06793826
235.89,1.06781512
238.683,1.06771249
239.507,1.0678149
242.048,1.06786085
242.31,1.06773276
244.307,1.06799391
244.569,1.06786582
246.862,1.06793228
250.947,1.06782957
253.494,1.06802409
253.694,1.06790113
256.274,1.06802904
259.316,1.0679059
263.526,1.06779294
268.262,1.06770044
269.742,1.06796162
270.164,1.06803332
270.696,1.06820235
270.78,1.06783348
271.301,1.06770537
271.333,1.06832014
271.475,1.06807422
273.197,1.0688477
273.397,1.06872473
274.118,1.06847366
274.176,1.06859661
274.24,1.06886813
274.381,1.06834557
274.777,1.06822771
277.317,1.06895503
281.288,1.06888306
284.393,1.0687548
288.766,1.06871355
292.531,1.06861598
296.564,1.06853889
299.88,1.06858479
303.377,1.06846675
307.132,1.06834869
309.916,1.06822557
312.855,1.06843031
312.913,1.06855326
312.971,1.06867621
313.634,1.06830219
314.155,1.06817408
314.283,1.06871711
318.799,1.06870659
319.436,1.06882438
320.648,1.06906509
320.652,1.06893701
323.49,1.06906492
324.644,1.06918268
327.104,1.06919277
327.162,1.06931572
327.253,1.06937207
329.875,1.06945388
332.918,1.06933074
336.477,1.06920757
340.945,1.06909459
344.654,1.06915072
344.658,1.06902264
345.922,1.06923773
349.223,1.06911458
352.265,1.06899144
355.581,1.06903734
356.663,1.06913974
359.706,1.0690166
362.548,1.06901642
364.591,1.06910339
364.937,1.0692878
366.817,1.06930305
369.147,1.06917484
370.946,1.06915423
372.061,1.06919003
374.586,1.06906692
375.525,1.06913858
378.668,1.06909229
382.864,1.06908691
385.648,1.06896378
388.854,1.06891236
392.609,1.0687943
396.623,1.06867622
401.948,1.06859905
403.972,1.06864503
407.014,1.0685219
411.679,1.06841403
414.239,1.06850096
416.675,1.06859815
417.829,1.06871591
422.149,1.06870028
424.031,1.06899218
424.811,1.06886405
425.59,1.06873593
426.524,1.06893567
428.964,1.06890478
432.84,1.06890455
435.969,1.06896583
439.678,1.06902196
440.573,1.06913974
440.889,1.06926267
443.718,1.06937008
446.092,1.0694724
448.953,1.06951321
449.332,1.06963101
453.221,1.06952319
456.005,1.06940007
456.57,1.06950249
458.097,1.06958949
459.571,1.06970211
463.552,1.06965064
466.911,1.06965043
469.586,1.06970662
471.806,1.06975772
475.82,1.06963964
477.112,1.06963956
478.328,1.06975219
481.275,1.06970078
485.423,1.06959295
487.968,1.06951082
488.284,1.06963376
491.595,1.06953109
496.589,1.06943857
498.345,1.06946408
502.359,1.06934601
506.569,1.06923304
510.325,1.06911498
514.08,1.06899692
518.094,1.06887885
522.5,1.068771
525.49,1.06867347
528.289,1.06871941
529.184,1.06883719
530.917,1.06894979
534.534,1.06894957
539.587,1.06898
544.677,1.06881575
547.523,1.0686875
550.307,1.06856437
554.393,1.06846166
557.952,1.06833849
561.933,1.06828702
562.508,1.06840994
564.886,1.06838418
568.899,1.0682661
572.602,1.06817366
576.229,1.06819393
577.363,1.06827071
578.034,1.0683219
580.88,1.06819365
